Essential;Focused;Singular;Clear;Complete;Unique;Ubiquitous;Integrous;Ill-formed;Valid;Theme
1;0;0;1;1;1;1;0;0;0;test the api
1;1;1;1;1;1;1;1;0;1;cancel order 
1;1;1;1;1;1;1;1;0;1;data table 
0;1;0;1;1;1;1;0;0;0;dealer can play 
1;1;1;1;1;1;1;1;0;1;delete payement method
1;1;1;1;1;1;1;1;0;1;add new task
1;1;1;1;1;1;1;1;0;1;logout
1;1;1;1;1;1;1;1;0;1;remove product
1;1;0;1;1;1;1;0;0;0;list of number
0;0;0;0;0;0;0;0;1;0;view a list
0;0;0;0;0;0;0;0;1;0;login
1;1;1;1;1;1;1;1;0;1;project with two metrics
1;1;1;1;1;1;1;1;0;1;add new task to to-do list 
1;1;1;1;1;1;1;1;0;1;create a new account
1;1;1;1;1;1;1;1;0;1;delete task button
1;1;0;1;1;1;1;0;0;0;edit profile
1;1;1;1;1;0;1;1;0;0;logout
0;0;0;0;0;0;0;0;1;0;/
0;0;1;1;1;1;1;1;0;0;add product to cart
1;1;0;1;1;1;1;0;0;0;edit account
1;1;1;1;1;1;1;1;0;1;view profil
1;1;1;1;1;0;1;1;0;0;login form
1;1;1;1;1;1;1;1;0;1;data access control 
1;1;1;1;1;1;1;1;0;1;new file created 
1;1;1;1;1;1;1;1;0;1;find the range
1;1;1;1;1;1;1;1;0;1;return change
1;1;1;1;1;0;1;1;0;0;login with table and redirect
0;0;0;1;1;1;1;0;0;0;view a list of all user
1;0;0;1;1;0;1;0;0;0;login
1;1;1;1;1;1;1;1;0;1;machine dispenses product 
1;1;1;1;1;1;1;1;0;1;test password reset
0;1;0;1;1;1;1;0;0;0;sum list of integers
1;1;1;1;1;1;1;1;0;1;view the details of project 
1;1;1;1;1;1;1;1;0;1;calculate standard deviation
1;1;1;1;1;0;1;1;0;0;login
1;1;1;1;1;1;1;1;0;1;edit existing route
1;1;1;1;1;1;1;1;0;1;add items to shopping cart
0;0;0;1;1;0;1;0;0;0;add a new task 
1;0;0;1;1;0;1;0;0;0;create a new account 
0;0;1;1;0;1;1;0;0;0;edit a user 
1;1;1;1;1;1;1;1;0;1;add product to wishlist 
1;1;1;1;1;1;1;1;0;1;manage existing namespaces
1;0;0;1;1;0;1;0;0;0;view and edit profile info
1;0;1;1;1;1;1;0;0;0;add new address to account 
1;1;1;1;1;1;1;0;0;0;create a new post
1;1;1;1;1;1;1;1;0;1;login and view profile with list
0;0;0;0;0;0;0;0;1;0;upload a file 
1;1;1;1;1;1;1;1;0;1;find the median 
1;1;0;1;1;0;1;0;0;0;test file upload service
1;1;1;1;1;1;1;1;0;1;login with wrong credentials
1;1;1;1;1;1;1;1;0;1;mean of a list of number
1;1;1;1;1;0;1;1;0;0;delete a task 
1;1;0;1;1;1;1;0;0;0;delete a contact 
1;1;1;1;1;1;1;1;0;1;test the task filtering
1;0;0;1;1;0;1;0;0;0;reset password 
1;1;1;1;1;1;1;1;0;1;update account information 
1;1;0;1;1;1;1;0;0;0;test email service
1;1;1;1;1;1;1;1;0;1;rename file on a server 
0;1;0;1;1;1;1;0;0;0;test calculator 
1;0;0;1;1;0;1;0;0;0;delete account
1;1;1;1;1;1;1;1;0;1;sort tasks 
1;0;0;1;1;0;1;0;0;0;delete task from task list
1;1;1;1;1;1;1;1;0;1;create new user
1;1;1;1;1;1;1;1;0;1;sort numbers in descending order
1;1;1;1;1;1;1;1;0;1;update user's data 
1;1;1;1;1;1;1;0;0;0;password reset confirmation 
1;1;1;1;1;1;1;1;0;1;delete post 
1;1;1;1;1;1;1;1;0;1;delete user 
1;1;1;1;1;1;1;1;0;1;password change 
1;1;1;1;1;1;1;1;0;1;upload file to the server 
1;1;1;1;1;1;1;1;0;1;view all posts 
1;1;1;1;1;1;1;1;0;1;get all users - get with token 
1;0;0;1;1;0;1;0;0;0;reset password 
0;0;0;0;0;0;0;0;1;0;create new post 
1;0;0;1;1;0;1;0;0;0;delete account 
1;1;0;1;1;1;1;0;0;0;edit post 
1;0;1;1;1;1;1;1;0;0;view list of all products
0;0;1;1;1;1;1;1;0;0;add new tag to post 
1;1;1;1;1;1;1;1;0;1;add two matrices 
1;1;1;1;1;1;1;1;0;1;search for a product 
1;1;1;1;1;1;1;1;0;1;edit profile 
