Essential;Focused;Singular;Clear;Complete;Unique;Ubiquitous;Integrous;Ill-formed;Valid;Theme;
1;0;1;1;1;1;1;1;0;0;create new post ;
1;1;1;1;1;1;1;1;0;1;delete post ;
1;1;1;1;1;1;1;1;0;1;cancel order ;
1;1;0;1;1;1;1;0;0;0;add and remove functionality todo list;
1;1;1;1;1;1;1;1;0;1;create new account ;
1;1;0;1;1;1;1;0;0;0;test cart functionality ;
1;1;1;1;1;1;1;1;0;1;login with credentials ;
1;1;1;1;1;1;1;1;0;1;add new user to namespace ;
1;1;1;1;1;1;1;1;0;1;view details of an order;
1;1;1;1;1;1;1;1;0;1;check validity of credit card number;
1;1;1;0;0;1;1;0;0;0;remove duplicates in list;
1;1;1;1;1;0;1;1;0;0;login;
1;1;1;1;1;1;1;1;0;1;test rdopkg-distgit-check-patches script ;
0;0;0;1;1;0;1;0;0;0;login and profile navigation;
1;1;0;0;1;1;1;0;0;0;test rdopkg pkgenv with valid patches_base ;
1;1;1;1;1;1;1;1;0;1;view order history ;
1;1;1;1;1;1;1;1;0;1;manage user account information ;
0;1;1;1;1;0;1;1;0;0;create a new project ;
1;1;1;1;1;1;1;1;0;1;remove duplicates in list;
1;1;1;1;1;0;1;1;0;0;login;
1;0;0;0;0;1;0;0;0;0;version and release;
1;0;0;1;1;1;1;0;0;0;delete product from inventory ;
1;1;1;1;1;1;1;1;0;1;"test the ""search"" button ";
1;1;1;1;1;1;1;1;0;1;create a new project ;
1;1;1;1;1;1;1;1;0;1;check if user is authorized to perform action ;
1;0;0;1;1;1;1;0;0;0;delete task from task list ;
1;0;0;1;1;1;1;0;0;0;delete a user ;
0;0;0;1;1;1;1;0;0;0;test registration functionality;
1;1;1;1;1;1;1;1;0;1;get number of occurrences in a string ;
0;0;0;0;0;0;0;0;1;0;/;
0;1;0;1;1;1;1;0;0;0;test add to cart functionality;
1;1;1;1;0;1;1;0;0;0;test new feature for the api;
0;1;0;1;1;1;1;0;0;0;test the sum function ;
0;1;0;1;1;1;1;0;0;0;find the median in list;
1;1;0;1;0;1;1;0;0;0;test product management functionality ;
1;0;0;1;1;0;1;0;0;0;user registration ;
0;0;0;1;1;0;1;0;0;0;login, settings modification, logout/re-login;
1;0;0;1;1;0;1;0;0;0;test the login functionality ;
1;1;1;1;1;1;1;1;0;1;update quantity of item in the shopping cart ;
1;0;0;1;1;1;1;0;0;0;create a new list ;
1;0;0;1;1;1;1;0;0;0;test api endpoint for creating a new user ;
1;1;0;1;1;1;1;0;0;0;test the create organization functionality ;
1;1;0;1;1;0;1;0;0;0;register for an account ;
1;1;1;1;1;0;1;1;0;0;login;
1;1;1;1;1;1;1;1;0;1;create a new group ;
1;0;0;1;1;1;1;0;0;0;delete a repository ;
1;1;1;1;1;1;1;1;0;1;confirm password reset;
1;1;1;1;1;1;1;1;0;1;filter products by price ;
1;1;1;1;1;1;1;1;0;1;test two-factor authentication functionality;
0;1;0;1;1;1;1;0;0;0;test the edit profile feature ;
1;0;0;1;1;0;1;0;0;0;login and homepage redirection;
1;0;0;1;1;0;1;0;0;0;mark task as complete ;
1;1;0;1;1;1;1;0;0;0;find largest and smallest integer in a list;
0;0;0;0;0;0;0;0;1;0;/;
1;1;1;1;1;1;1;1;0;1;rdopkg new-version with upstream patches ;
1;0;0;1;1;0;1;0;0;0;test password reset functionality ;
1;1;1;1;1;0;1;1;0;0;able to login ;
